0.863	0.997
0.5532	0.4577
0.7431	0.684
0.6719	0.6597
0.2781	0.6363
1.0085	0.6529
0.4179	0.6142
0.3782	0.7716
0.3094	0.9307
0.7087	0.8196
1.0654	0.8531
1.0688	0.7609
0.9367	0.4955
0.711	0.5093
0.8336	0.7816
0.9446	0.3122
0.3808	0.6496
0.4173	0.5614
0.3773	0.5889
0.7839	0.4015
0.438	0.5864
0.8213	0.3288
0.5599	0.7915
0.7588	0.4865
0.7842	0.7732
0.8573	0.8354
0.7637	0.7462
0.8495	0.8845
0.6019	0.7735
0.6889	0.492
0.8103	0.6427
0.6945	0.6838
1.0926	0.6172
0.3963	0.7153
0.7725	0.6536
0.645	0.6478
0.8677	0.5471
0.4026	0.4856
0.5833	1.0787
0.6552	0.8231
0.5512	0.5219
0.547	0.4024
0.5983	0.9172
0.9275	0.6908
0.736	0.8355
0.8381	0.466
0.7012	1.0694
0.6008	0.6927
0.7349	0.5644
0.6002	0.5952
0.3617	2.6955
0.8406	2.7204
0.4707	2.6863
0.4678	2.4493
0.6058	2.474
0.4869	2.7673
0.8901	3.0473
0.8784	2.6855
0.3821	2.5989
0.9477	2.5152
0.8429	2.4641
0.9297	2.8564
0.6684	2.5796
0.8619	2.5863
0.6951	2.9082
0.2258	3.0387
1.0423	2.4766
0.7178	2.4898
0.7623	2.7716
0.6538	3.1639
0.6223	2.9797
0.7451	2.4261
0.6668	2.6052
0.7815	2.8367
0.8539	2.662
0.5953	2.2671
0.4198	2.6203
0.6002	2.5841
0.5516	2.8655
0.6998	2.3896
0.4808	2.9158
0.4243	2.7178
0.4876	2.5913
0.5883	2.8107
0.7444	2.5882
0.7709	3.1837
0.6331	2.7672
0.6383	2.5763
0.3156	2.5286
0.8011	2.4994
0.572	2.6485
0.7336	2.4376
0.6443	2.7194
0.7157	2.6885
0.755	2.6826
0.9667	2.7361
0.7055	2.9209
0.7056	2.6114
0.8414	2.5803
0.8774	2.2028
2.7937	0.9367
2.3545	0.4342
2.504	0.8073
2.8014	0.4716
2.8854	0.5294
2.5223	1.1224
2.7433	0.8689
2.5344	0.789
2.6717	0.5857
2.8557	0.4644
2.4693	1.0034
2.6971	0.5155
2.8404	0.8105
2.6051	0.8731
2.4535	0.6187
2.8317	0.6923
2.4658	0.2787
2.572	0.7349
2.9793	0.3839
2.6711	0.6473
2.4175	0.5559
2.7084	0.6038
2.8625	0.5198
2.6908	0.8348
2.6006	1.1644
2.3116	0.5442
2.654	0.6729
3.2891	0.5562
2.8836	0.5978
2.7293	0.7529
2.6122	0.7134
2.9634	0.8359
2.9761	0.3717
3	0.8375
2.7537	0.6306
3.1054	0.6096
2.5584	0.7614
2.7422	0.7937
2.5573	1.1595
2.5306	0.9464
2.6522	0.9576
2.82	0.7582
2.2359	0.5631
2.7294	0.8282
2.4793	0.6967
2.7013	0.6624
2.607	0.6563
2.2778	0.4009
2.8641	0.8308
2.5092	0.4932
2.7941	2.7213
2.687	2.9724
2.4901	2.5612
2.6162	2.4918
2.5864	2.6784
2.325	2.9822
2.7517	2.9827
2.9685	2.6824
2.4882	2.9584
2.8082	2.9666
3.1246	2.8229
2.6317	2.5278
2.7717	2.7245
2.5685	2.7803
2.5647	2.9034
2.8179	2.6461
2.3597	2.9487
2.8082	2.6876
2.82	2.7152
2.7882	2.6926
2.7856	2.3512
3.047	2.6791
3.0799	2.7246
2.7784	2.6403
2.5283	2.7109
2.4342	2.8529
2.7572	2.9632
2.6901	2.709
2.5678	2.6362
3.0586	2.9978
2.8912	2.6215
2.735	2.7116
2.6581	2.3094
2.6307	2.8764
2.974	2.6396
2.7953	2.7742
2.5501	2.4625
2.5776	2.9106
2.4185	2.7261
2.5526	2.769
2.8634	2.5918
2.7667	2.6658
2.4045	2.9213
3.0771	2.6381
2.683	2.6814
2.6678	2.641
2.51	2.5218
2.7904	2.6897
2.7654	2.5603
2.4229	2.0366
